Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Beauty Evil Rose,1992,27,"A beautiful stranger, Yan-Hong (who is one of the Roses), wanders into Inspector Liang's office, takes her gear off, then turns him into a zombie-servant of the Evil God. Policeman Cheng tries to get his wife, who is also an Inspector and his boss, in the mood for sex, but she handcuffs him and walks off. Ah-Kong and his sister, Sao Mui, are out for a stroll. Ah-Kong is also trying to stop his lovely wife Mannie from posing for nude modelling. Yan-Hong is arrested by Cheng and is interrogated, then she reports to her superior, the leather-clad Dai-Jeh (""Big Sister""), who practices her evil laugh and hands out a whipping as punishment. Later, a dozy Taoist priest is called in to exorcise the Beauty and her Evil Roses. The priest fails, but lays the groundwork for the final showdown between good and evil.",cn,https://image.tmdb.org/t/p/w500/kI9qXF5bf291RuOYjN4kZO4Ejrm.jpg,4.333,Lam Wah-Chuen,喜而雅電影有限公司,
The Smile of the Fox,1992,"53, 18, 10749","Mark, a hitman haunted by his past as a corrupt Miami cop and the death of his wife and son,  prepares for his next killing. Gradually he becomes fascinated by the beautiful prostitute who lives in the next apartment and they embark on a passionate affair. Their dreams of a life together are complicated by her pimp being a drugs baron; before they can escape he must die, but things are never that simple...",it,https://image.tmdb.org/t/p/w500/5nXdKIlB0G2Nv19Tx5ZUZU2fixI.jpg,5.6,Sergio Martino,"Dania Film, National Cinematografica",
Rock and Roll Fantasy,1992,"10749, 35","What happens when the coolest rock star in the world is held hostage by the hottest sorority babes on campus? The most outrageously rockin' seriously sexy Sorority House Party of all time! Staring ravishing Playboy cover-girl Avalon Anders, sultry April Lerman (""Charles in Charge"") and international super-model Attila, it's a wild and steamy rock'n'roll comedy romp that dares to boldly party where no man has partied before.",en,https://image.tmdb.org/t/p/w500/JCyXB8E2k6RazkLExUKvAt64EP.jpg,6,David Michael Latt,"Icon Entertainment International, The Asylum",
Cutting the Sorrow With a Knife Stuck in the Chest,1992,"10749, 18",A man accepts a job on a shrimp fishing boat unaware that he is being set up for slave labor along with the rest of the crew of social outcasts.,ko,https://image.tmdb.org/t/p/w500/1TX3cFo5ulD5jesJZuFWElbUfTq.jpg,3.5,Hong Ki-seon,,
Vietnamese Lady,1992,"53, 18, 10749","HK businessman Kiu doesn't have time to woo a girl. On a trip to Saigon, he offers financial help to poor girl Shun's (very troubled !) family if she'll come and live with him. With a sense of duty but no love, she agrees, too timid to even tell boyfriend Lik just after losing her virginity to him. Love fails to blossom between Shun and Kiu in HK, and Kiu starts to drink heavily. Sandy, Kiu's luscious secretary takes advantage and gets it off with him in the gym and digusts Shun in the process. Shun gets drunk and is picked up in a bar, nearly raped, and rescued then befriended by a fellow Vietnamese, a photographer, in what is clearly a setup. Turns out Sandy is behind this ruse as well, to get Shun out of the way and have Kiu all to herself. But things don't go according to anyone's plan. Will Shun give up Kiu and his money to go back to Lik ? Will Sandy hold her nerve and push ahead ? Will the guys Sandy paid to set up Shun have their way with Sandy instead ?",cn,https://image.tmdb.org/t/p/w500/mB7wgB5TiusPW4CgiLgtM7CO6HB.jpg,2,Ka Ka,Art House International,
White Badge,1992,"10752, 18","A Vietnam war veteran writes a series of articles about his war experiences for a local newspaper. As he does so, another veteran, drawn by the articles, begins randomly appearing in his life.",ko,https://image.tmdb.org/t/p/w500/4vFhK8i4YUT5AuUBtF3wUbLf9LB.jpg,5.8,Chung Ji-young,"Daeil Film, Giai Phong Film Studio",
Gigolo and Whore II,1992,35,"Humiliated by Charlene, a rich girl who has acquired the company that Johnson works in, Johnson decides to take revenge on her. To their surprise, Charlene turn to woman again. When Jack nearly succeeds, he finds himself in love with Charlene...",zh,https://image.tmdb.org/t/p/w500/bKRMxh59lNcRkYApb46iIYW1QFd.jpg,6,Andy Chin,"David Lam Films Co., Ltd. (D L Films)",
In Search of My Wife's Husband,1993,35,"Lhadj Benmoussa, a rich jeweler, is married to several wives and appear to be a good manager of the three concubines, except when Houda, his third wife, who is young and gracious, is repudiated for the third time.",ar,https://image.tmdb.org/t/p/w500/f5FrNKKiIcXE9VVacGnsGrkXYZ6.jpg,6,Mohamed Abderrahman Tazi,,
Do You Like Women?,1992,"27, 35","Celia Fassbinder, chef and owner of the five star restaurant ""Celia's Place"" has a secret she keeps from most of her customers and staff: She's a cannibal. Thankfully she's also a member of a club of like-minded ladies who make up the ""Society for Serving Women.""",en,https://image.tmdb.org/t/p/w500/yJgeaWdyYvT1l3bxwUqnv4QX92J.jpg,0,Jay Lind,,
Playboy's Erotic Weekend Getaways,1992,,Playboy presents techniques for enjoying erotic weekend getaways with your lover in five different erotic and sensual variations,en,https://image.tmdb.org/t/p/w500/8ywBP0bvq8H37i7PbC61DX3RR2Q.jpg,0,Robert Kubilos,,
Eternidade,1992,,,pt,https://image.tmdb.org/t/p/w500/ihuXW5DV58usYGVTxKJHUO4P976.jpg,0,Quirino Simões,,
Karm Yodha,1992,53,"Sameer returns to his city and witnesses a murder. Later, he and his family are attacked thinking that the dead victim has shared a secret with him.",hi,https://image.tmdb.org/t/p/w500/l2mAukgeKLWEnZ5LW8AYJfrmO6p.jpg,0,Dayal Nihalani,,
The Voice of Grass,1995,"18, 9648, 27",This Ukrainian fantasy reflects the careful retelling of a folk legend about a beautiful sorceress and her young apprentice. The older witch initiates the younger into a magical world while two winged men observe them. The film is done without sensation.,uk,https://image.tmdb.org/t/p/w500/sOROGIGTuofVl0VbUXHMinmBPOs.jpg,0,Natalia Motuzko,Odesa Film Studio,
The Harbor,1992,18,"Next to a small Dalmatian town of Murvice oil was found, and politicians make a hasty decision to build a tanker port, although there is no oil in the quantities required for exploitation. Urged by his ambitious wife, the engineer Slobodan Despot becomes director of the port construction, which his wife's lover skillfully exploits to use Despot as scapegoat. The construction of unprofitable airport gradually destroys the patriarchal structure of Murvice, as well as Despot's personal life and ideals, which he tried to restore by having affair with the young and unspoiled girl.",hr,https://image.tmdb.org/t/p/w500/VbqD7ZHatB2fixgUXvwFfVW5XN.jpg,0,Tomislav Radić,"Urania Film, Hrvatska Radiotelevizija, Korugva",
L'Atlantide,1992,"18, 12","A mythical land who must be discover. Or invented. In an impressive library, two old men. One is a great Polish archaeologist at the end of his work. The second- his best friend. They are masters of a substantial slice of human history: legendary Atlantis. It is refuge and masterpiece, propriety and treasure.",fr,https://image.tmdb.org/t/p/w500/iwScjb37VPDsTmNfGhFCUgduGjf.jpg,5,Bob Swaim,"RCS Video, Aura Films, Gaumont Télévision",
Club Girls Romance,1992,"18, 80, 10749, 10770",,cn,https://image.tmdb.org/t/p/w500/cVGvqy1VyvoH6EfWXuZJHJ1aPJE.jpg,4,Lin Chan-Wai,,
Fighting Fist,1992,"28, 18, 12","The Yakuza of Japan has infiltrated the universities of Hong Kong and are conducting illegal activities such as underground bare knuckle fights,gambling and drugs. Hong Kong Police team up with the Japanese Secret Service to bring down the ruthless gang but their agents always seem to wind up dead. As a last resort they have a female detective (Sibelle Hu) infiltrate the organization in order to bring them down.",cn,https://image.tmdb.org/t/p/w500/tgeVKdFDbAEhWIhvnBCclINNcvq.jpg,5,Casey Chan Lai-Ying,Gold Harbour Films,
The Direct Line,1992,28,"Yukari Oshima plays a detective who is kidnapped and held hostage by a team of Mainland agents led by Waise Lee.  Called The Golden Corps, they are chasing a traitor who is attempting to sell stolen gold in HK.",cn,https://image.tmdb.org/t/p/w500/2TCO91kfuaFc011idZLG0VrJfwv.jpg,5.8,Lin Chan-Wai,,
Gambling Soul,1992,,A man lost his life and tea house because he was set up by a underworld boss in gambling. Now his ghost comes back for revenge.,cn,https://image.tmdb.org/t/p/w500/woHY1v0Gjw1uMt0a55u7JzMQMqa.jpg,5,Cheng Kang,,
Behind the Curtain,1992,,Behind the Curtain is a Taiwanese crime movie starring Kara Hui.,zh,https://image.tmdb.org/t/p/w500/bvLZNol1GsSdLrkxp1AtyQ9rtjb.jpg,8,Liew Kah-Yong,,
All Mighty Gambler,1991,28,"Yan Chi Yung (Chin Siu Ho) joins his fellow triad member Chu Chi Ang (Norman Tsui) in ripping off millions in gambling profits from their underworld boss Tai (Chen Kuan Tai), returning most of it after taking some for themselves. Meanwhile, a sexy gambler named Ice Chan (Ellen Chan), whose father was murdered by Tai several years before, arrives from America looking for revenge. She tries to infiltrate Tai's organization by seducing Yan, but really falls for him and fails in her attempt to assassinate Tai behind his back. More trickery and double-crosses follow as Tai tries to get Yan and Chu to help him rip off another gambler, only to have his plans thwarted by a turncoat within his own gang.",cn,https://image.tmdb.org/t/p/w500/rhcdcTmqDv3wWlOTP3Bd5jpKqzY.jpg,0,Wilson Tong,,
Fraternity Demon,1992,35,Some college kids accidently unleash a sex demon and she ends up turning a frat party inside out.,en,https://image.tmdb.org/t/p/w500/1IrvOa5l7V17b89rnuU4IRwxQcL.jpg,2.8,C.B. Rubin,,
El gandalla,1992,,,es,N/A,5,N/A,,
Ladies Killer,1992,"27, 53","Lok is a famous photographer. He always has sexual relationships with his models. Lok's wife loved him so much, she did not say a word. One day, a model Chi was found died in the studio. Police believe the murderer is Lok. However, he was helped by the lawyer...",cn,https://image.tmdb.org/t/p/w500/k7PDVMk2OpTKv2Xpkmd8q4yYYB7.jpg,0,To Lo Po,Hop Chung Film (H.K.) Ltd.,
Witch,1992,"35, 27","May is a man who, in order to reincarnate to an honorable situation, must remain a virgin for three lifetimes. But the evil (and titular) witch has other ideas. She tricks him, then screws him, then kills him. Now dead, May becomes the servant of the prince of hell, whose parents want to marry him off. But despite being offered the choice of 73 beauties, he rejects them all as being too old. The prince (who, like the other inhabitants of hell, is quite a nice guy) is mad about Chin ... but she's ""on the corps side"" - that is, in the land of the living. May is instructed to accompany the prince through the tricky task of getting to know and woo the living girl. But the witch is still around, and still after May.....",zh,https://image.tmdb.org/t/p/w500/fJjAH7156irMfDqZnfeXknh8pE0.jpg,0,Mark Long,,
Lady Killer,1992,,1992 film,en,https://image.tmdb.org/t/p/w500/dZVQDy54zQly6UBf7jVHGiCDs4M.jpg,0,Chang Jen-Chieh,Hwa Liang Movie Company Ltd.,
A Dancing Boy in Underworld Street,1993,"28, 80","The leader of an underground gang wants to collaborate with the gang in the Northern of Thailand to control the supply of weapon in Hong Kong, but unexpectedly, the game is changed by a newly formed gang led by Melvin Wong",zh,https://image.tmdb.org/t/p/w500/il0H6Dpre14HgwwK95IxfsMwePN.jpg,2,Yeung Jing,Pao Hang Film (HK) Co.,
Big Circle Blues,1992,"80, 28","A gang of Mainland robbers leave their mark in Hong Kong and flee to Taiwan. Female supercop Show Yun reluctantly teams up with her Taiwan counterpart, policeman Wai to stop this violent gang of robbers.",cn,https://image.tmdb.org/t/p/w500/RXvQMFnsdmZvOXKFAqnmnqmCb6.jpg,0,Chow Cheng,Sing Po Film Production Co.,
The Happy Massage Girls,1992,"18, 35",The Happy Massage Girls is a Hong Kong made-for-TV movie starring Lau Ching Wan,cn,https://image.tmdb.org/t/p/w500/7NSWfyjDpdTGHAaMzphzJcR41bM.jpg,0,Amen Wu,Regal Videogramme Company,
Revenge of Scar Face,1992,28,Hong Kong remake of Brian de Palma's Scarface.,en,N/A,5,Cheung Kwok-Kuen,,
Ghost in Me,1992,"27, 35",Ghost in Me is a Hong Kong Horror-Comedy directed by and starring Stanley Fung.,cn,https://image.tmdb.org/t/p/w500/rlqmltFzfdz9rXGfQHioSPQ3iJb.jpg,10,Stanley Sui-Fan Fung,"Star Entertainment Co., Ltd.",
Devil Lover,1993,"10749, 53, 18",The tumultuous relationship of a married couple that ends in murder.,cn,https://image.tmdb.org/t/p/w500/65wyopJPEIze90eY0dTu27ZJW6e.jpg,5,Yuen Kam-Tim,,
Raiders of Losing Treasure,1992,28,"An international terrorist organization is behind the inheritance left by the father of a well known businesswoman in Taiwan. With the help of some of her workers, she will have to find out who is behind this evil organization.",cn,https://image.tmdb.org/t/p/w500/dpksv4YUoHGwzLiVccfO1poEJCr.jpg,0,Wang Yao,,
Four Dragons,1992,,"Si hai you xia AKA: Four Dragons  Dir: Ji Shang Lu  Cast: Ken Lo, Siu-Ho Chin  Hng Kong 1992",zh,https://image.tmdb.org/t/p/w500/wTRKcF9QCMJ3pTpBwdBCT68voRk.jpg,0,Yeh Ching-Hui,,
Wonderful Killer,1992,,"A merciless slasher--who might also happen to be a demure, studious coed--targets the student populace of a Chinese university.",en,https://image.tmdb.org/t/p/w500/4KNOl5RrdV4NDt2mdEYUXmqJ6aY.jpg,0,Chang Jen-Chieh,,
Legend of Wong Tai Sin,1992,14,A spirit is sent to earth through reincarnation and born into a family of kind-hearted beggars. It is here that he begins an unbelievable journey to become the Legend of Wong Tai Sin.,cn,https://image.tmdb.org/t/p/w500/rZubeDSCxCvK8nygXdROR4PNv8T.jpg,0,To Lo Po,Hop Chung Film (H.K.) Ltd.,
Mega Force from Highland,1992,,"While traveling the globe, a martial artist encounters an endless array of fighters who wish to challenge his skill.",cn,N/A,2,Yu Chi Lien,"Lucky Star (H.K.) Film Co., We Yick Film Co.",
The Musical Vampire,1992,"35, 27",A crazy white scientist resurrects a corpse with a werid chemical creating a super hopping ghost. The only thing that can somewhat control it is the sound of music. A Tao Priest and his two assistants try and stop it from destroying the countryside.,cn,https://image.tmdb.org/t/p/w500/sfv6DXaECNmNiQe677EVDPHjWPO.jpg,5.5,Wilson Tong,,
China Heat,1992,28,"A special police unit of women fights drug smugglers from Asia to New York. A trio of globe-trotting women led by the glamorous Tie Hua spread mayhem and beauty as they search for the cold-hearted international drug lord Hong Gang. In their wake, they leave a string of broken hearts -- and a trail of broken bones. Sibelle Hu, Alan Lan, Sherry Han, Cindy Mong and Michael Despasquale Jr. co-star in this martial arts action adventure filmed in the style of Charlie's Angels.",zh,https://image.tmdb.org/t/p/w500/A4RjqIAbsaFEtWIxLqalDApO8cF.jpg,3.5,William Cheung Kei,,
Battle in Hell,1992,,"In ancient Mongolia, two sisters kill themselves after their father's army is defeated by invading Chinese troops. Their spirits are resurrected in modern times, but now they have become murderous vampires.",zh,https://image.tmdb.org/t/p/w500/oHGHcsDUXAuaooCkAURvMeZAPaM.jpg,0,Girgo Fan,,
Das Ende einer Reise,1992,,Documentary film.,en,N/A,0,Heiner Stadler,,
My Wife's Lover,1992,"10749, 18","In this erotic drama from Hong Kong, a young couple's marriage is beginning to grow stale as they become disenchanted with one another. Both husband and wife find themselves attracted to other people, and he begins having an affair with a beautiful and sexually adventurous photographer. What he doesn't know at first is that his wife is also exploring infidelity -- with the same woman.",cn,https://image.tmdb.org/t/p/w500/98BLJlE8pVT9GgjN1vZTvGKWk9O.jpg,5.3,Kevin Chu,Tai Seng Entertainment,
Feast,1992,27,Hope you're hungry...and ready to dig into this delicious cannibal comic romp. Two guy roommates lure lovely ladies back to their bachelor pad for a dinner they'll never forget - since it's their last.,en,https://image.tmdb.org/t/p/w500/xHdyeFh3peTi1XsYwnE73q7lSXq.jpg,2,Mike Tristano,,
Her Mona,1992,,Film by Telscher.,de,https://image.tmdb.org/t/p/w500/5IwqvObe6NF9jDHcgcAkXwUTRrj.jpg,0,Klaus Telscher,,
Strictly Propaganda,1992,99,A realistic satire about the path of the German Democratic Republic from its foundation until its 40th birthday. This eye-opening film tells the history of the German Democratic Republic through East Germany's official newsreels and state films.,de,N/A,6.2,Wolfgang Kissel,DEFA-Studio für Wochenschau und Dokumentarfilme,
My Mona,1992,,Film by Telscher.,de,https://image.tmdb.org/t/p/w500/DYu1eRvhjATkjGPZyIS8yvsFbo.jpg,0,Klaus Telscher,,
The Children's Rebellion,1992,18,"In the 19th century, children -- particularly the children of the poor -- were considered to be an exploitable resource of docile and cheap labor. Anyone who had the effrontery to steal so much as a portion of a loaf of bread for any reason would (at the very least) go to prison, regardless of their age. However, people of conscience were beginning to protest against this situation. The story takes place in a prison for children where conditions are particularly harsh. The warden is a thick-headed martinet who demands complete compliance with the rules, or the children will be brutally dealt with. The assistant warden is a more modern man, and is appalled by the whole institution, but seeks to begin by reforming it. To that end, he has invited a journalist to come and see the conditions that prevail there, in the hopes that she will rouse public opinion against at least this one form of injustice.",fr,https://image.tmdb.org/t/p/w500/fr55rZ3jAZEPWELh5V6HkXuQc8P.jpg,5.2,Gérard Poitou-Weber,"Blue Films, SFP, Société Générale de Cinématographie (S.G.C.)",
Aériennes Surprise,1992,,Aerienne's Surprise,it,https://image.tmdb.org/t/p/w500/kE0gV0GbdDLcGw7diRDIuH4WUI3.jpg,0,Richard Romain,Défi,
