Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Loud Love,2024,,"Deaf gay parents Alan and Brian brought their hearing twin children home from India to NYC in 2011 after a long difficult surrogacy process. While expanding their sign language teaching business and maneuvering their relationship, the couple need to cope with their increasingly rambunctious kids who start shrieking ""you don't understand me"" to their fathers. ""Loud Love"" is their story, a documentary about parenting, growth and its occasional hurdles.",en,https://image.tmdb.org/t/p/w500/wHkuo67AQ7VgVsfDkzRpGMr38fy.jpg,0,Bing Wang,,
Ojai,2024,"878, 18","Ricky and his cancer-stricken mother move to the seemingly innocuous town of Ojai in pursuit of a vague yet promising experimental treatment. As Ricky tries to adjust to his new life, he becomes increasingly skeptical of the town's innocence and concerned for his mom's well-being.",en,N/A,0,David Austin Thompson,Ojai Picture Company,
Socialist Realism,2023,35,"A satirical take on President Salvador Allende's Popular Unity process prior to the 1973 Chilean coup d'état. The film is made up of a series of short stories, in which different worlds cross paths.",es,https://image.tmdb.org/t/p/w500/i9pb3F7wWOUcD482OCJ1HVNtpli.jpg,0,Raúl Ruiz,"Poetastros, Athar Medios",
Nine Ball,2023,18,"For years Nicky has been drinking to try and forget. The problem is, every time he hits the bottle old memories come pouring in along with the booze and it's suddenly Friday night all over again. And in Nicky's past, Friday night meant just one thing--after-hours at Lucky's Tavern for a night of drinking and shooting pool with Doug and the boys. Drinks were free, Nine Ball was the game, and everyone knew the rules up front . Or did they?  Guided by his conscience, Nicky is forced to relive what began as a casual night out with the guys and ended with an event so tragic that he has never been able to put it behind him.",en,https://image.tmdb.org/t/p/w500/3U6W3nHUA2ukmkLL5h6ZLCjCfxw.jpg,0,Victor Bevine,What Exit Films,
Reed Dance,2000,99,"Held in the Kingdom of Eswatini, the titular reed dance is an annual ceremony where tens of thousands of unmarried women come to dance in extremely skimpy outfits in front of the king in the hope that he will choose one of them as his next wife.",pl,N/A,0,Andrzej Fidyk,,
The Flash,2023,"12, 28, 878","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",en,https://image.tmdb.org/t/p/w500/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,6.696,Andy Muschietti,"Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",
Moe,2023,,"Moe, a fun-loving theater artist working on a one woman show, finds out that he is dying from an AIDS related illness. Naturally, his response is to invite his closest friends over for a “going away for good” party as one last big celebration of his life. His plans go awry when his best friend, and his ex, decide to crash the party, despite 15 years without communication between them. Alternating between the painful reality of his current situation and scenes featuring his alter ego, a torch-singing drag queen who wants to take him for “the ride of his life,” MOE is an often light-hearted film that also packs a serious emotional punch.",en,https://image.tmdb.org/t/p/w500/fhgJMBJfxnGKrPtPKhY2TP7snyU.jpg,7,José Luis Valenzuela,,
The Problem with People,2024,35,Two estranged cousins who never knew each other tries to make amends for many generations of family dispute.,en,https://image.tmdb.org/t/p/w500/18tgLakMGWCjhGJKwby53wh5tpp.jpg,5.2,Chris Cottam,Maxfilms,
Bloody September,2023,"53, 35, 18","Theater and film actor, Mykola Veresen' dies on the set while performing the role of Ivan the Terrible. In the moment of death, his karma transforms into the bloody murderer he embodied, and he falls into Sheol, a common grave for all the dead. The time has a different flow here, the only feelings left are fear and pain. In hell Mykola learns about the confrontation that last for centuries between the white and black vampires, he becomes a puppet in the cruel guerrilla of these two supernatural groups.",uk,https://image.tmdb.org/t/p/w500/u1iMQRwAUR1MWTdtUhK4prUcYLI.jpg,0,Heorhii Fomin,Directory Films,
The Last Voyage of the Demeter,2023,"27, 53, 14",The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,en,https://image.tmdb.org/t/p/w500/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg,6.808,André Øvredal,"Phoenix Pictures, DreamWorks Pictures, Wise Owl Media, Reliance Entertainment, Studio Babelsberg, StoryWorks Productions",
Power Alley,2023,18,"On the eve of a future-defining championship, promising volleyball player Sofia (17) is faced with an unwanted pregnancy. Seeking an illegal termination, she becomes the target of a fundamentalist group determined to stop her at any cost – but neither Sofia nor those who love her are willing to surrender to the blind fervor of the swarm.",pt,https://image.tmdb.org/t/p/w500/fpH5Jpn9NKnl28q1jps0Q9Dsvxt.jpg,7.5,Lillah Halla,"Manjericão Filmes, Cimarrón Cine, In Vivo Films, CineFilms, Mars Films, Vitrine Filmes, RioFilme, Instituto Nacional del Cine y el Audiovisual (INCAU), Telecine, Canal Brasil",
Falling Stars,2024,"18, 27","On the night of first harvest, three brothers in the American West set out to see a dead witch buried by their friend. When they accidentally desecrate the body, they learn the only way to stop a curse on their family is to burn it before sunrise.",en,https://image.tmdb.org/t/p/w500/ppIwzw658v4uTEaNgbzU1XgK9ON.jpg,5,Richard Karpala,Latarka Studio,
The Christmas Spirit,2022,"35, 53",A wrestling fan is instructed to kidnap a teenage girl who bears a striking resemblance to his dead sister in order to save Christmas.,en,https://image.tmdb.org/t/p/w500/6a8nocaDfYOehQzeqZMvni9WqVq.jpg,0,Bennet De Brabandere,Flax Films,
The Caravan,2023,"99, 18","We accompanied an 8 months pregnant Yuri, who migrates with her partner Mike and her son Santi with one objective, to give birth in USA",es,https://image.tmdb.org/t/p/w500/trS9nPsIV83D3uoX7r7X2MtrUQw.jpg,0,Nuria Clavero,,
Verano no miente,2018,"18, 35, 10749","In a countryside house in the Ecuadorean Andes Mountains lives Christine, a paralytic old woman who has decided to be isolated from the world. In that place, she found refuge in old memories of her first love, Manuel. Years after getting married and widowed from another man, Christine and her daughter, Julia, decide to put together a plan in order to reunite two young people at their countryside house. Christine's drive is for them to fall in love, so she can relive love through their eyes.",en,https://image.tmdb.org/t/p/w500/uVXJMp6hnlwgdYfkBgd5ehgejg6.jpg,1,Ernesto Santisteban,La 5ta Maquina Films,
Phalana Abbayi Phalana Ammayi,2023,"10749, 35","A heart warming romantic tale of  Sanjay and Anupama and their journey together over the years, about their first met, their growth in friendship, later the love and the drift in relationship.",te,https://image.tmdb.org/t/p/w500/5yXcvXk4VCFn3WJW9U7Ka45yvBP.jpg,5.5,Srinivas Avasarala,People Media Factory,
The Line,2024,18,"Tom, a passionate ‘brother’ of his fraternity, is charmed by the promises of high social status and alumni connections that open doors. But as Annabelle, a classmate outside his social circle, enters his life, his devotion begins to falter. Once the scheduled hazing of new fraternity members comes to a disturbing head, Tom faces the decision of a lifetime.",en,https://image.tmdb.org/t/p/w500/fzdTaYU6niPMwOBSd8mRcmQVYgf.jpg,0,Ethan Berger,"Chaos Cedar, Carte Blanche, Rebellium Films",
All Fun and Games,2023,"27, 53","A group of Salem teens discover a cursed knife that unleashes a demon that forces them to play gruesome, deadly versions of childhood games where there can be no winners, only survivors.",en,https://image.tmdb.org/t/p/w500/1m0CTxlotr8H8GaoioL2IJHL1gW.jpg,5.6,Ari Costa,"Anton, AGBO, CAA Media Finance",
This Is Brighton,2023,99,"THIS IS BRIGHTON is a coming-of-age sports documentary about Brighton Zeuner, one of the best female contest skateboarders of her generation. As skateboarding becomes an Olympic sport, this character-driven film reveals the anxiety and pressures of competition, effects of social media, and how a global pandemic upended the promise of a young skater destined to be the best.",en,https://image.tmdb.org/t/p/w500/c57f4v8gpJ13ttWf92bf2mYcSse.jpg,0,Beth Aala,,
I Believe,2023,"10749, 18","For wedding planner Zhang Yang, tying the knot is out of the question as he seems to bring doom to whomever he falls in love with. That's until he meets talent agent Lin Chuchu.",zh,https://image.tmdb.org/t/p/w500/lqoLAdf0jMZJH8v2a94UpYIXCmX.jpg,6.5,Shya Wing-Hong,,
Jesus Revolution,2023,"18, 36","In the 1970s, aimless teenager Greg Laurie searches for all the right things in all the wrong places until he meets Lonnie Frisbee, a charismatic hippie/street preacher. Together with local pastor Chuck Smith, they open the doors of a languishing church to an unexpected revival.",en,https://image.tmdb.org/t/p/w500/A3qqrl8lJvlpRCwkbUEADXzVaDC.jpg,6.637,Brent McCorkle,"Lionsgate, Kingdom Story Company, A Walsh Works Production",
Daughter of Mine,2023,"99, 80",A mother grapples with the complexities of grief after her daughter was murdered delivering Girl Scout cookies in 1973.,en,N/A,0,Vanessa Martino,Quarter Till Three,
Record Without Words,2023,"80, 18, 9648","In the early 1990s, ""Public Order Defence Squads"" in China — usually made up of discharged military personnel, unemployed young adults and local hooligans — were supposed to maintain public order in villages and towns. Most of the time, however, they ended up dealing with all sorts of mundane matters in their towns. The story begins with a mysterious case of serial dog killings. LI Lizhong, leader of the local defence squad, starts an investigation into the case, following a set of strange clues and studying them using piecemeal knowledge of primitive criminology and ichnology. After a string of hijinks, the squad catches the dog killer. However, the evidence also shows that the case is closely related to the accidental death of Lizhong’s father.",zh,https://image.tmdb.org/t/p/w500/uo1U19J77g0ZQ378Cp4MRsUm2BN.jpg,5.8,Feihuan Hao,,
Pelikan Blue,2024,"16, 99, 36","Hungary, 1990s. Travel abroad is finally possible, but unaffordable. By forging international train tickets, three young people get to know the world.",hu,https://image.tmdb.org/t/p/w500/sMShMF5QjQZTeF7fsnX9sF7lNYx.jpg,0,László Csáki,"Cinemon, Umbrella Collective",
The Mirror,2023,"18, 10751, 9648","After their father dissapeared, Paul and Juliette Hagen try now to find him. In Order to do this, they watch his old videotapes to find a clue for his Location",de,https://image.tmdb.org/t/p/w500/ygesMqLRQOolUTml7sRB2di8t63.jpg,0,Ralf Kemper,,
Mind Game,2023,"80, 18","Inspired from a shockingly true incident of Hate and Revenge. The film is an investigative thriller that explores the mind-set of a criminal hiding in plain sight. A newly married couple receives a gift box five days after their wedding, their happiness turns short lived when the gift turns out to be a bomb that kills the husband and his grandmother and seriously injuring the wife. A massive investigation begins to find the killer.",or,https://image.tmdb.org/t/p/w500/5suuPUv2az3laske2g3zeFlMEfL.jpg,0,Rajesh Touchriver,"Range Royal Cine Lab, Odisha Talkies",
Loading Ludwig,1989,,"In the 21st century, Mimi wakes up and her computer relays the order: ""Go back to start. Let's load Ludwig!"" A sort of chase through her past and future begins.",en,N/A,0,Mara Mattuschka,,
Predestinado: Arigó e o Espírito do Dr. Fritz,2022,18,"José Pedro de Freitas, better known as Zé Arigó, was a simple man who lived with his wife Arlete in Congonhas, Minas Gerais. During the 1950s, a time when Spiritism was not as well known and respected in the country, Arigó became a symbol of hope through his surgeries and spiritual cures. Based on a true story, Arigó, with the help of the spirit of Dr. Fritz, performed numerous spiritual surgeries on people from Brazil and the world.",pt,https://image.tmdb.org/t/p/w500/udQKSwULzhqCpytrg084pJXw996.jpg,7.3,Gustavo Fernández,"FJ Productions, Moonshot Pictures, The Calling Production, Camisa Listrada, Paramount Pictures Brasil",
Heartland of Darkness,1992,27,"Single father Paul Henson purchases a newspaper in the small town of Copperton, Ohio and moves there with his teenage daughter Christina. The two soon come to realize the townsfolk, led by the evil Reverend Donovan, are actually Satanists.",en,https://image.tmdb.org/t/p/w500/zlIa027GbOplbDef65B8dqRKowy.jpg,3.7,Eric Swelstad,,
Blackstar: Autobiography of a Close Friend,1976,99,"In this experimental, self-ethnographic documentary, Tom Joslin blends breathtaking, moving snapshots from the natural world, filmic cultural touchstones, and cutting (pseudo) cinéma vérité to dissect and reassemble his gay identity despite constant warnings to stay in the closet. Blackstar sees Joslin and partner Mark Massi fleshing out their enduring commitment and obvious love for one another amidst the insecurity that a self-conscious documentary lens instills. As interviews with Joslin’s mother, father, and brothers attempt to break down the legitimacy of Joslin and Massi’s romance, the pair use everything at their disposal, including inspiration from gay revolutionaries and painfully honest conversations, to hold up their ​“abnormality” as a point of pride rather than shame. – Shayna Warner",en,https://image.tmdb.org/t/p/w500/bSGw71AKaLrdtTa5MrUUgf7qeaJ.jpg,0,Tom Joslin,Alchemedia,
Architects' Congress,1933,,"Architects' Congress is Lázló Moholy-Nagy's cinematic journal which recorded the 4th meeting of the CIAM (International Congress of Modern Architecture) in August of 1933.  The meeting was held on board the ship Patris II which cruised from Marseilles to Athens, the Aegean Islands, and back. Congress participants featured such luminaries as Alvar Aalto, Cornelis van Eesteren, Charlotte Perriand, Ferdinand Léger, Seigfried Gideon, Le Corbusier, and José Luis Sert.",en,https://image.tmdb.org/t/p/w500/hXVarw6Ipe55ITWGIM8B6nIQGNo.jpg,10,László Moholy-Nagy,,
Ten Tricks,2022,"18, 35","In one night, a madam at a brothel makes plans to get pregnant, while a magician working across the street makes a drastic move to change his life.",en,https://image.tmdb.org/t/p/w500/6HE92gumscigbNqh8Bi9ZyVIbiA.jpg,4.3,Richard Pagano,,
Hellraiser,2022,"27, 9648","A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",en,https://image.tmdb.org/t/p/w500/f9ZAIUxTTk23vo1BC9Ur1Rx5c2E.jpg,6.201,David Bruckner,"Phantom Four, Spyglass Media Group",
Invasion of the Not Quite Dead,2013,,In 1978 a deadly virus is contained... Thirty years later the virus is released on an unsuspecting island off the coast of England in this very unique take on the Zombie genre.,en,N/A,10,Antony D. Lane,,
Transe,2024,18,A threesome that takes place against the backdrop of Brazil's 2018 presidential election. Three young adults in a love triangle seek to understand the world and who they are on the brink of a shocking and highly-divisive election that puts the future of each one in check.,pt,https://image.tmdb.org/t/p/w500/s00gbsubLdYv01OXs1AdPUrNhV8.jpg,0,Anne Pinheiro Guimarães,"Cosmo Cine, Conspiração Filmes",
Sirens,2022,"99, 10402","True to their name, Slave to Sirens — the first and only all-woman thrash metal band in the Middle East — are utterly magnetic. Amid a backdrop of political unrest and the heartbreaking unraveling of Beirut, five bandmates form a beacon of expression, resistance, and independence. Director Rita Baghdadi follows founders and guitarists Lilas Mayassi and Shery Bechara as their tenderness, and sometimes bitterness, for one another grows in ways both unexpected and deeply moving. Joined by vocalist Maya Khairallah, bassist Alma Doumani, and drummer Tatyana Boughaba, these women negotiate their emotional journeys through young adulthood in tumultuous circumstances with grace, raw passion, and a ferocious commitment to their art. Their grit is tested as they grapple with the complexities of friendship, sexuality, and the destruction around them.",ar,https://image.tmdb.org/t/p/w500/tp8rmMBt2WRVIG5FILfsGhrJM9P.jpg,6.8,Rita Baghdadi,"Animal Pictures, Lady & Bird Films, Endless Eye Productions, XTR, Oscilloscope",
Ancestral Waters,2022,,"The Puyallup Tribe signed the medicine creek treaty in 1854 and like every other tribe in North America, they have had to continually fight for the inherent ways of life that are supposed to be guaranteed and protected by their treaty.",en,https://image.tmdb.org/t/p/w500/s9WSCnmje0m1dXQhkhlNvxePiNa.jpg,0,Darren Moore,Native Daily Network,
Ash and Bone,2022,"27, 9648, 53","The film follows a rebellious teen named Cassie Vanderbilt, whose wild streak escalates as her caring father Lucas decides to take her and his new wife Sarah out of the city for some bonding and quality time together. But after Cassie crosses the infamous McKinley family, it becomes clear that sometimes danger lies hidden in the weeds, ready to strike at any moment.",en,https://image.tmdb.org/t/p/w500/xs5O1wlDzbABYVeRXXGQMuoiItG.jpg,3.6,Harley Wallen,"Painted Creek Productions, Auburn Moon Productions, Cama Productions",
Terminus,2022,"80, 53","A Ghanaian chemist, who in a bid to vindicate his company in a lawsuit stumbles on something even more dangerous in the process - a hidden chemical formula altered for testing and profit gains by a pharmaceutical giant.",en,https://image.tmdb.org/t/p/w500/u2SFoo3ZCxbu5GHMsmg79PSYwn6.jpg,0,Abu Iddris,,
Laal Singh Chaddha,2022,"18, 35, 10749, 10751","Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",hi,https://image.tmdb.org/t/p/w500/qqBB1tAi345mXMhLwLJpd7LWLRP.jpg,6.6,Advait Chandan,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",
Witch Trilogy 15+,2022,99,"Witch Trilogy 15+ tells the story of two women who killed their husbands who were violent to them. Aylin and Eve share their home, love, anger, childhood, children, dreams and nightmares. The documentary travels through genres from thriller to experimental as it conveys the emotions that Aylin and Eve have decanted into the letters. He questions the finding of two women “guilty” in the time-and-space-free cycle of violence.",tr,https://image.tmdb.org/t/p/w500/aQ2hv3C9tvcxRzTGBCORz6Po1AF.jpg,9,Ceylan Özgün Özçelik,Filmada,
Adventures in Game Chasing,2022,35,"Billy and Jay, friends since kids and now beat down with life, go on an adventure to track down Billy's original NES gaming system in order to play it one more time.",en,https://image.tmdb.org/t/p/w500/fHyncRWjtMmuiwxe7Jscqmx1AtM.jpg,4.2,Billy Chaser,,
Bhavachitra,2022,"9648, 53","Protagonist Vishnu photographer by hobby, takes his camera and goes for a long drive, takes photos of locations and people he meets, from there on story continues and the plot remains in suspense as why is he travelling.",kn,https://image.tmdb.org/t/p/w500/if9TiLNAETW38CA1B07VaKbzSUj.jpg,9,Girish Kumar B,,
Darkling,2022,"18, 10752, 27","In NATO-occupied Kosovo, a little girl writes an essay for the United Nations about her father who has gone missing. Meanwhile, the girl's grandfather becomes increasingly paranoid of the unseen threats that lurk in the dark.",sr,https://image.tmdb.org/t/p/w500/bHIqBn17r4JKG8DXcZUISES0jTI.jpg,6.5,Dušan Milić,Firefly Productions,
Charlie Hustle,2022,,"A prodigal son, on the run with the woman he loves, turns to a life of crime as an enforcer for a notorious loan shark, his father.",en,https://image.tmdb.org/t/p/w500/AuwCvjTCRopD7Iogi9aWntADRzu.jpg,0,Kevin Porter,Shylock,
The House Among the Cactuses,2022,18,"The island of Gran Canaria. At the end of the 70s. Rosa and Emilio live with their five daughters, isolated from the world in the middle of a valley.  In this wild place, they lead an alternative, harmonious life, until the appearance of a lost hiker, who they agree to help.  This occurrence, very much out of the ordinary for the family, will lead to an extreme and hostile situation and will reveal the suffocating, dark nature of the house among the cactuses and its inhabitants.",es,https://image.tmdb.org/t/p/w500/3imivupchNPZjXCeFUVbo1YzWqT.jpg,6.5,Carlota González-Adrio,,
The Reunion,2022,18,THE REUNION follows out of work actor Ricky Reilly through a nightmarish dream-like journey as he descends into the depths of New York City to confront a bully from his past at their High School Reunion.,en,https://image.tmdb.org/t/p/w500/ejuM27JZR2CTCdA34472bqmPYhb.jpg,2.8,Phil Donlon,"Team Reunion, Future Proof Films",
Supreme Motherhood : The Journey of Mata Sahib Kaur,2022,"16, 12, 36",,hi,https://image.tmdb.org/t/p/w500/wO3Z5gXpdDhLDCQ4IrQTZEGidgG.jpg,0,Karandeep Singh,"Nihal Nihal Nihal Productions, Zee Studios",
